Sl/No,Date,Time,Temperature,Humidity,CO_ppb,SO2_ppb,NO2_ppb,O3_ppb,CO2_ppm,PM2.5_ug/m3,PM10_ug/m3,AQI_PM2.5,AQI_PM10,Overall_AQI,Rain_Detected
126.0,2025-02-10,16:21:29,34.7,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
127.0,2025-02-10,16:21:31,34.7,43.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
128.0,2025-02-10,16:21:33,34.7,43.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
129.0,2025-02-10,16:21:35,34.7,43.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
130.0,2025-02-10,16:21:37,34.7,43.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
131.0,2025-02-10,16:21:39,34.7,43.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
132.0,2025-02-10,16:21:41,34.7,43.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
133.0,2025-02-10,16:21:44,34.7,43.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
134.0,2025-02-10,16:21:46,34.6,43.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
135.0,2025-02-10,16:21:48,34.6,43.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
136.0,2025-02-10,16:21:50,34.6,43.0,359.18,8.29,3.32,5.53,271.67,27.63,55.26,83.0,51.0,83.0,No
137.0,2025-02-10,16:21:52,34.6,43.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
138.0,2025-02-10,16:21:54,34.6,43.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
139.0,2025-02-10,16:21:56,34.6,43.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
140.0,2025-02-10,16:21:58,34.6,43.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
141.0,2025-02-10,16:22:00,34.6,43.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
142.0,2025-02-10,16:22:02,34.6,43.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
143.0,2025-02-10,16:22:04,34.6,43.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
144.0,2025-02-10,16:22:07,34.6,43.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
145.0,2025-02-10,16:22:09,34.6,43.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
146.0,2025-02-10,16:22:11,34.6,43.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
147.0,2025-02-10,16:22:13,34.6,43.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
148.0,2025-02-10,16:22:15,34.6,43.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
149.0,2025-02-10,16:22:17,34.6,43.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
150.0,2025-02-10,16:22:19,34.6,43.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
151.0,2025-02-10,16:22:21,34.6,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
152.0,2025-02-10,16:22:23,34.6,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
153.0,2025-02-10,16:22:25,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
154.0,2025-02-10,16:22:28,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
155.0,2025-02-10,16:22:30,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
156.0,2025-02-10,16:22:32,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
157.0,2025-02-10,16:22:34,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
158.0,2025-02-10,16:22:36,34.6,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
159.0,2025-02-10,16:22:38,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
160.0,2025-02-10,16:22:40,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
161.0,2025-02-10,16:22:42,34.6,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
162.0,2025-02-10,16:22:44,34.6,44.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
163.0,2025-02-10,16:22:46,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
164.0,2025-02-10,16:22:48,34.6,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
165.0,2025-02-10,16:22:51,34.7,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
166.0,2025-02-10,16:22:53,34.7,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
167.0,2025-02-10,16:22:55,34.7,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
168.0,2025-02-10,16:22:57,34.7,44.0,350.1,8.08,3.23,5.39,266.38,26.93,53.86,82.0,49.0,82.0,No
169.0,2025-02-10,16:22:59,34.7,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
170.0,2025-02-10,16:23:01,34.7,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
171.0,2025-02-10,16:23:03,34.7,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
172.0,2025-02-10,16:23:05,34.7,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
1.0,2025-02-10,16:23:07,34.7,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
2.0,2025-02-10,16:23:09,34.7,44.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
3.0,2025-02-10,16:23:11,34.7,44.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
4.0,2025-02-10,16:23:14,34.7,44.0,351.09,8.1,3.24,5.4,266.96,27.01,54.01,82.0,-1.0,82.0,No
5.0,2025-02-10,16:23:16,34.7,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
6.0,2025-02-10,16:23:18,34.7,44.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
7.0,2025-02-10,16:23:20,34.7,44.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
8.0,2025-02-10,16:23:22,34.7,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
9.0,2025-02-10,16:23:24,34.7,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
10.0,2025-02-10,16:23:26,34.7,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
11.0,2025-02-10,16:23:28,34.7,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
12.0,2025-02-10,16:23:30,34.7,44.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
13.0,2025-02-10,16:23:32,34.6,44.0,348.14,8.03,3.21,5.36,265.23,26.78,53.56,81.0,49.0,81.0,No
14.0,2025-02-10,16:23:34,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
15.0,2025-02-10,16:23:37,34.6,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
16.0,2025-02-10,16:23:39,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
17.0,2025-02-10,16:23:41,34.6,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
18.0,2025-02-10,16:23:43,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
19.0,2025-02-10,16:23:45,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
20.0,2025-02-10,16:23:47,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
21.0,2025-02-10,16:23:49,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
22.0,2025-02-10,16:23:51,34.6,44.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
23.0,2025-02-10,16:23:53,34.6,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
24.0,2025-02-10,16:23:55,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
25.0,2025-02-10,16:23:57,34.6,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
26.0,2025-02-10,16:23:59,34.6,45.0,359.18,8.29,3.32,5.53,271.67,27.63,55.26,83.0,51.0,83.0,No
27.0,2025-02-10,16:24:02,34.6,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
28.0,2025-02-10,16:24:04,34.6,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
29.0,2025-02-10,16:24:06,34.6,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
30.0,2025-02-10,16:24:08,34.6,45.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
31.0,2025-02-10,16:24:10,34.6,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
32.0,2025-02-10,16:24:12,34.6,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
33.0,2025-02-10,16:24:14,34.6,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
34.0,2025-02-10,16:24:16,34.6,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
35.0,2025-02-10,16:24:18,34.7,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
36.0,2025-02-10,16:24:20,34.7,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
37.0,2025-02-10,16:24:22,34.7,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
38.0,2025-02-10,16:24:25,34.7,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
39.0,2025-02-10,16:24:27,34.7,45.0,351.09,8.1,3.24,5.4,266.96,27.01,54.01,82.0,-1.0,82.0,No
40.0,2025-02-10,16:24:29,34.7,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
41.0,2025-02-10,16:24:31,34.7,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
42.0,2025-02-10,16:24:33,34.7,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
43.0,2025-02-10,16:24:35,34.7,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
44.0,2025-02-10,16:24:37,34.7,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
45.0,2025-02-10,16:24:39,34.7,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
46.0,2025-02-10,16:24:41,34.7,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
47.0,2025-02-10,16:24:43,34.6,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
48.0,2025-02-10,16:24:45,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
49.0,2025-02-10,16:24:48,34.6,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
50.0,2025-02-10,16:24:50,34.6,44.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
51.0,2025-02-10,16:24:52,34.6,44.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
52.0,2025-02-10,16:24:54,34.6,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
53.0,2025-02-10,16:24:56,34.6,44.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
54.0,2025-02-10,16:24:58,34.6,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
55.0,2025-02-10,16:25:00,34.6,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
56.0,2025-02-10,16:25:02,34.6,44.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
57.0,2025-02-10,16:25:04,34.6,44.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
58.0,2025-02-10,16:25:06,34.5,44.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
59.0,2025-02-10,16:25:08,34.5,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
60.0,2025-02-10,16:25:11,34.5,44.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
61.0,2025-02-10,16:25:13,34.5,44.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
62.0,2025-02-10,16:25:15,34.4,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
63.0,2025-02-10,16:25:17,34.4,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
64.0,2025-02-10,16:25:19,34.4,45.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
65.0,2025-02-10,16:25:21,34.4,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
66.0,2025-02-10,16:25:23,34.4,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
67.0,2025-02-10,16:25:25,34.3,45.0,351.09,8.1,3.24,5.4,266.96,27.01,54.01,82.0,-1.0,82.0,No
68.0,2025-02-10,16:25:27,34.3,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
69.0,2025-02-10,16:25:29,34.3,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
70.0,2025-02-10,16:25:31,34.3,45.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
71.0,2025-02-10,16:25:34,34.3,45.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
72.0,2025-02-10,16:25:36,34.3,45.0,349.12,8.06,3.22,5.37,265.8,26.86,53.71,82.0,49.0,82.0,No
73.0,2025-02-10,16:25:38,34.3,45.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
74.0,2025-02-10,16:25:40,34.3,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
75.0,2025-02-10,16:25:42,34.3,46.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
76.0,2025-02-10,16:25:44,34.3,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
77.0,2025-02-10,16:25:46,34.3,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
78.0,2025-02-10,16:25:48,34.3,45.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
79.0,2025-02-10,16:25:50,34.3,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
80.0,2025-02-10,16:25:52,34.3,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
81.0,2025-02-10,16:25:54,34.3,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
82.0,2025-02-10,16:25:57,34.3,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
83.0,2025-02-10,16:25:59,34.3,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
84.0,2025-02-10,16:26:01,34.3,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
85.0,2025-02-10,16:26:03,34.3,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
86.0,2025-02-10,16:26:05,34.2,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
87.0,2025-02-10,16:26:07,34.2,45.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
88.0,2025-02-10,16:26:09,34.2,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
89.0,2025-02-10,16:26:11,34.2,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
90.0,2025-02-10,16:26:13,34.2,46.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
91.0,2025-02-10,16:26:15,34.2,46.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
92.0,2025-02-10,16:26:17,34.2,46.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
93.0,2025-02-10,16:26:20,34.2,46.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
94.0,2025-02-10,16:26:22,34.2,46.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
95.0,2025-02-10,16:26:24,34.2,46.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
96.0,2025-02-10,16:26:26,34.2,46.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
97.0,2025-02-10,16:26:28,34.2,46.0,351.09,8.1,3.24,5.4,266.96,27.01,54.01,82.0,-1.0,82.0,No
98.0,2025-02-10,16:26:30,34.2,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
99.0,2025-02-10,16:26:32,34.2,46.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
100.0,2025-02-10,16:26:34,34.2,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
101.0,2025-02-10,16:26:36,34.2,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
102.0,2025-02-10,16:26:38,34.2,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
103.0,2025-02-10,16:26:40,34.2,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
104.0,2025-02-10,16:26:43,34.1,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
105.0,2025-02-10,16:26:45,34.1,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
106.0,2025-02-10,16:26:47,34.1,45.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
107.0,2025-02-10,16:26:49,34.1,45.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
108.0,2025-02-10,16:26:51,34.1,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
109.0,2025-02-10,16:26:53,34.1,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
110.0,2025-02-10,16:26:55,34.1,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
111.0,2025-02-10,16:26:57,34.1,45.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
112.0,2025-02-10,16:26:59,34.1,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
113.0,2025-02-10,16:27:01,34.1,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
114.0,2025-02-10,16:27:03,34.1,45.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
115.0,2025-02-10,16:27:06,34.0,45.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
116.0,2025-02-10,16:27:08,34.0,45.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
117.0,2025-02-10,16:27:10,34.0,45.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
118.0,2025-02-10,16:27:12,34.0,45.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
119.0,2025-02-10,16:27:14,34.0,46.0,359.18,8.29,3.32,5.53,271.67,27.63,55.26,83.0,51.0,83.0,No
120.0,2025-02-10,16:27:16,34.0,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
121.0,2025-02-10,16:27:18,34.0,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
122.0,2025-02-10,16:27:20,34.0,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
123.0,2025-02-10,16:27:22,34.0,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
124.0,2025-02-10,16:27:24,34.0,46.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
125.0,2025-02-10,16:27:26,34.0,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
126.0,2025-02-10,16:27:29,34.0,46.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
127.0,2025-02-10,16:27:31,33.9,46.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
128.0,2025-02-10,16:27:33,33.9,46.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
129.0,2025-02-10,16:27:35,33.9,46.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
130.0,2025-02-10,16:27:37,33.9,46.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
131.0,2025-02-10,16:27:39,33.9,46.0,357.12,8.24,3.3,5.49,270.48,27.47,54.94,83.0,-1.0,83.0,No
132.0,2025-02-10,16:27:41,33.9,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
133.0,2025-02-10,16:27:43,33.9,46.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
134.0,2025-02-10,16:27:45,33.9,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
135.0,2025-02-10,16:27:47,33.9,46.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
136.0,2025-02-10,16:27:50,33.9,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
137.0,2025-02-10,16:27:52,33.9,46.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
138.0,2025-02-10,16:27:54,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
139.0,2025-02-10,16:27:56,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
140.0,2025-02-10,16:27:58,33.9,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
141.0,2025-02-10,16:28:00,33.9,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
142.0,2025-02-10,16:28:02,33.9,46.0,355.09,8.19,3.28,5.46,269.29,27.31,54.63,82.0,-1.0,82.0,No
143.0,2025-02-10,16:28:04,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
144.0,2025-02-10,16:28:06,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
145.0,2025-02-10,16:28:08,33.9,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
146.0,2025-02-10,16:28:10,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
147.0,2025-02-10,16:28:13,33.9,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
148.0,2025-02-10,16:28:15,33.9,46.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
149.0,2025-02-10,16:28:17,33.9,46.0,352.08,8.12,3.25,5.42,267.54,27.08,54.17,82.0,-1.0,82.0,No
150.0,2025-02-10,16:28:19,33.9,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
151.0,2025-02-10,16:28:21,33.9,46.0,354.08,8.17,3.27,5.45,268.7,27.24,54.47,82.0,-1.0,82.0,No
152.0,2025-02-10,16:28:23,33.9,46.0,351.09,8.1,3.24,5.4,266.96,27.01,54.01,82.0,-1.0,82.0,No
153.0,2025-02-10,16:28:25,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
154.0,2025-02-10,16:28:27,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
155.0,2025-02-10,16:28:29,33.9,46.0,353.08,8.15,3.26,5.43,268.12,27.16,54.32,82.0,-1.0,82.0,No
156.0,2025-02-10,16:28:31,33.9,46.0,358.15,8.26,3.31,5.51,271.07,27.55,55.1,83.0,51.0,83.0,No
157.0,2025-02-10,16:28:33,33.9,46.0,356.1,8.22,3.29,5.48,269.88,27.39,54.79,83.0,-1.0,83.0,No
